#Epoch		i		Time		Data		Loss		Prec@1		Prec@5 
1	0           1.304 	           0.654	          5.3129	           0.000 	           3.906
1	1           0.849 	           0.313	          5.6279	           0.781 	           2.344
1	2           0.871 	           0.337	          5.5028	           0.000 	           3.906
1	3           0.863 	           0.330	          5.4724	           0.781 	           2.344
1	4           0.873 	           0.334	          5.3382	           1.562 	           6.250
1	5           0.872 	           0.337	          5.6830	           0.000 	           6.250
1	6           0.864 	           0.329	          5.5512	           0.000 	           7.812
1	7           0.864 	           0.330	          5.2404	           0.781 	           3.125
1	8           0.864 	           0.328	          5.3457	           2.344 	           9.375
1	9           0.862 	           0.330	          5.8086	           0.781 	           3.906
1	10           0.874 	           0.339	          5.3672	           3.125 	           5.469
1	11           0.865 	           0.331	          5.3993	           1.562 	           5.469
